Depth,Absolute Salinity,Temperature
0,34.0,2.0
1,34.0,2.0
2,34.0,2.0
3,34.0,2.0
4,34.0,2.0
5,34.0,2.0
6,34.0,2.0
7,34.0,2.0
8,34.0,2.0
9,34.0,2.0
10,34.0,2.0
11,34.0,2.0
12,34.0,2.0
13,34.0,2.0
14,34.0,2.0
15,34.0,2.0
16,34.0,2.0
17,34.0,2.0
18,34.0,2.0
19,34.0,2.0
20,34.0,2.0
21,34.0,2.0
22,34.0,2.0
23,34.0,2.0
24,34.0,2.0
25,34.0,2.0
26,34.0,2.0
27,34.0,2.0
28,34.0,2.0
29,34.0,2.0
30,34.0,2.0
31,34.0,2.0
32,34.0,2.0
33,34.0,2.0
34,34.0,2.0
35,34.0,2.0
36,34.0,2.0
37,34.0,2.0
38,34.0,2.0
39,34.0,2.0
40,34.0,2.0
41,34.0,2.0
42,34.0,2.0
43,34.0,2.0
44,34.0,2.0
45,34.0,2.0
46,34.0,2.0
47,34.0,2.0
48,34.0,2.0
49,34.0,2.0
50,34.0,2.0
51,34.0,2.0
52,34.0,2.0
53,34.0,2.0
54,34.0,2.0
55,34.0,2.0
56,34.0,2.0
57,34.0,2.0
58,34.0,2.0
59,34.0,2.0
60,34.0,2.0
61,34.0,2.0
62,34.0,2.0
63,34.0,2.0
64,34.0,2.0
65,34.0,2.0
66,34.0,2.0
67,34.0,2.0
68,34.0,2.0
69,34.0,2.0
70,34.0,2.0
71,34.0,2.0
72,34.0,2.0
73,34.0,2.0
74,34.0,2.0
75,34.0,2.0
76,34.0,2.0
77,34.0,2.0
78,34.0,2.0
79,34.0,2.0
80,34.0,2.0
81,34.0,2.0
82,34.0,2.0
83,34.0,2.0
84,34.0,2.0
85,34.0,2.0
86,34.0,2.0
87,34.0,2.0
88,34.0,2.0
89,34.0,2.0
90,34.0,2.0
91,34.0,2.0
92,34.0,2.0
93,34.0,2.0
94,34.0,2.0
95,34.0,2.0
96,34.0,2.0
97,34.0,2.0
98,34.0,2.0
99,34.0,2.0
100,34.0,2.0
101,34.0,2.0
102,34.0,2.0
103,34.0,2.0
104,34.0,2.0
105,34.0,2.0
106,34.0,2.0
107,34.0,2.0
108,34.0,2.0
109,34.0,2.0
110,34.0,2.0
111,34.0,2.0
112,34.0,2.0
113,34.0,2.0
114,34.0,2.0
115,34.0,2.0
116,34.0,2.0
117,34.0,2.0
118,34.0,2.0
119,34.0,2.0
120,34.0,2.0
121,34.0,2.0
122,34.0,2.0
123,34.0,2.0
124,34.0,2.0
125,34.0,2.0
126,34.0,2.0
127,34.0,2.0
128,34.0,2.0
129,34.0,2.0
130,34.0,2.0
131,34.0,2.0
132,34.0,2.0
133,34.0,2.0
134,34.0,2.0
135,34.0,2.0
136,34.0,2.0
137,34.0,2.0
138,34.0,2.0
139,34.0,2.0
140,34.0,2.0
141,34.0,2.0
142,34.0,2.0
143,34.0,2.0
144,34.0,2.0
145,34.0,2.0
146,34.0,2.0
147,34.0,2.0
148,34.0,2.0
149,34.0,2.0
150,34.0,2.0
151,34.0,2.0
152,34.0,2.0
153,34.0,2.0
154,34.0,2.0
155,34.0,2.0
156,34.0,2.0
157,34.0,2.0
158,34.0,2.0
159,34.0,2.0
160,34.0,2.0
161,34.0,2.0
162,34.0,2.0
163,34.0,2.0
164,34.0,2.0
165,34.0,2.0
166,34.0,2.0
167,34.0,2.0
168,34.0,2.0
169,34.0,2.0
170,34.0,2.0
171,34.0,2.0
172,34.0,2.0
173,34.0,2.0
174,34.0,2.0
175,34.0,2.0
176,34.0,2.0
177,34.0,2.0
178,34.0,2.0
179,34.0,2.0
180,34.0,2.0
181,34.0,2.0
182,34.0,2.0
183,34.0,2.0
184,34.0,2.0
185,34.0,2.0
186,34.0,2.0
187,34.0,2.0
188,34.0,2.0
189,34.0,2.0
190,34.0,2.0
191,34.0,2.0
192,34.0,2.0
193,34.0,2.0
194,34.0,2.0
195,34.0,2.0
196,34.0,2.0
197,34.0,2.0
198,34.0,2.0
199,34.0,2.0
200,34.0,2.0
201,34.0,2.0
202,34.0,2.0
203,34.0,2.0
204,34.0,2.0
205,34.0,2.0
206,34.0,2.0
207,34.0,2.0
208,34.0,2.0
209,34.0,2.0
210,34.0,2.0
211,34.0,2.0
212,34.0,2.0
213,34.0,2.0
214,34.0,2.0
215,34.0,2.0
216,34.0,2.0
217,34.0,2.0
218,34.0,2.0
219,34.0,2.0
220,34.0,2.0
221,34.0,2.0
222,34.0,2.0
223,34.0,2.0
224,34.0,2.0
225,34.0,2.0
226,34.0,2.0
227,34.0,2.0
228,34.0,2.0
229,34.0,2.0
230,34.0,2.0
231,34.0,2.0
232,34.0,2.0
233,34.0,2.0
234,34.0,2.0
235,34.0,2.0
236,34.0,2.0
237,34.0,2.0
238,34.0,2.0
239,34.0,2.0
240,34.0,2.0
241,34.0,2.0
242,34.0,2.0
243,34.0,2.0
244,34.0,2.0
245,34.0,2.0
246,34.0,2.0
247,34.0,2.0
248,34.0,2.0
249,34.0,2.0
250,34.0,2.0
251,34.0,2.0
252,34.0,2.0
253,34.0,2.0
254,34.0,2.0
255,34.0,2.0
256,34.0,2.0
257,34.0,2.0
258,34.0,2.0
259,34.0,2.0
260,34.0,2.0
261,34.0,2.0
262,34.0,2.0
263,34.0,2.0
264,34.0,2.0
265,34.0,2.0
266,34.0,2.0
267,34.0,2.0
268,34.0,2.0
269,34.0,2.0
270,34.0,2.0
271,34.0,2.0
272,34.0,2.0
273,34.0,2.0
274,34.0,2.0
275,34.0,2.0
276,34.0,2.0
277,34.0,2.0
278,34.0,2.0
279,34.0,2.0
280,34.0,2.0
281,34.0,2.0
282,34.0,2.0
283,34.0,2.0
284,34.0,2.0
285,34.0,2.0
286,34.0,2.0
287,34.0,2.0
288,34.0,2.0
289,34.0,2.0
290,34.0,2.0
291,34.0,2.0
292,34.0,2.0
293,34.0,2.0
294,34.0,2.0
295,34.0,2.0
296,34.0,2.0
297,34.0,2.0
298,34.0,2.0
299,34.0,2.0
300,34.0,2.0
301,34.0,2.0
302,34.0,2.0
303,34.0,2.0
304,34.0,2.0
305,34.0,2.0
306,34.0,2.0
307,34.0,2.0
308,34.0,2.0
309,34.0,2.0
310,34.0,2.0
311,34.0,2.0
312,34.0,2.0
313,34.0,2.0
314,34.0,2.0
315,34.0,2.0
316,34.0,2.0
317,34.0,2.0
318,34.0,2.0
319,34.0,2.0
320,34.0,2.0
321,34.0,2.0
322,34.0,2.0
323,34.0,2.0
324,34.0,2.0
325,34.0,2.0
326,34.0,2.0
327,34.0,2.0
328,34.0,2.0
329,34.0,2.0
330,34.0,2.0
331,34.0,2.0
332,34.0,2.0
333,34.0,2.0
334,34.0,2.0
335,34.0,2.0
336,34.0,2.0
337,34.0,2.0
338,34.0,2.0
339,34.0,2.0
340,34.0,2.0
341,34.0,2.0
342,34.0,2.0
343,34.0,2.0
344,34.0,2.0
345,34.0,2.0
346,34.0,2.0
347,34.0,2.0
348,34.0,2.0
349,34.0,2.0
350,34.0,2.0
351,34.0,2.0
352,34.0,2.0
353,34.0,2.0
354,34.0,2.0
355,34.0,2.0
356,34.0,2.0
357,34.0,2.0
358,34.0,2.0
359,34.0,2.0
360,34.0,2.0
361,34.0,2.0
362,34.0,2.0
363,34.0,2.0
364,34.0,2.0
365,34.0,2.0
366,34.0,2.0
367,34.0,2.0
368,34.0,2.0
369,34.0,2.0
370,34.0,2.0
371,34.0,2.0
372,34.0,2.0
373,34.0,2.0
374,34.0,2.0
375,34.0,2.0
376,34.0,2.0
377,34.0,2.0
378,34.0,2.0
379,34.0,2.0
380,34.0,2.0
381,34.0,2.0
382,34.0,2.0
383,34.0,2.0
384,34.0,2.0
385,34.0,2.0
386,34.0,2.0
387,34.0,2.0
388,34.0,2.0
389,34.0,2.0
390,34.0,2.0
391,34.0,2.0
392,34.0,2.0
393,34.0,2.0
394,34.0,2.0
395,34.0,2.0
396,34.0,2.0
397,34.0,2.0
398,34.0,2.0
399,34.0,2.0
400,34.0,2.0
401,34.0,2.0
402,34.0,2.0
403,34.0,2.0
404,34.0,2.0
405,34.0,2.0
406,34.0,2.0
407,34.0,2.0
408,34.0,2.0
409,34.0,2.0
410,34.0,2.0
411,34.0,2.0
412,34.0,2.0
413,34.0,2.0
414,34.0,2.0
415,34.0,2.0
416,34.0,2.0
417,34.0,2.0
418,34.0,2.0
419,34.0,2.0
420,34.0,2.0
421,34.0,2.0
422,34.0,2.0
423,34.0,2.0
424,34.0,2.0
425,34.0,2.0
426,34.0,2.0
427,34.0,2.0
428,34.0,2.0
429,34.0,2.0
430,34.0,2.0
431,34.0,2.0
432,34.0,2.0
433,34.0,2.0
434,34.0,2.0
435,34.0,2.0
436,34.0,2.0
437,34.0,2.0
438,34.0,2.0
439,34.0,2.0
440,34.0,2.0
441,34.0,2.0
442,34.0,2.0
443,34.0,2.0
444,34.0,2.0
445,34.0,2.0
446,34.0,2.0
447,34.0,2.0
448,34.0,2.0
449,34.0,2.0
450,34.0,2.0
451,34.0,2.0
452,34.0,2.0
453,34.0,2.0
454,34.0,2.0
455,34.0,2.0
456,34.0,2.0
457,34.0,2.0
458,34.0,2.0
459,34.0,2.0
460,34.0,2.0
461,34.0,2.0
462,34.0,2.0
463,34.0,2.0
464,34.0,2.0
465,34.0,2.0
466,34.0,2.0
467,34.0,2.0
468,34.0,2.0
469,34.0,2.0
470,34.0,2.0
471,34.0,2.0
472,34.0,2.0
473,34.0,2.0
474,34.0,2.0
475,34.0,2.0
476,34.0,2.0
477,34.0,2.0
478,34.0,2.0
479,34.0,2.0
480,34.0,2.0
481,34.0,2.0
482,34.0,2.0
483,34.0,2.0
484,34.0,2.0
485,34.0,2.0
486,34.0,2.0
487,34.0,2.0
488,34.0,2.0
489,34.0,2.0
490,34.0,2.0
491,34.0,2.0
492,34.0,2.0
493,34.0,2.0
494,34.0,2.0
495,34.0,2.0
496,34.0,2.0
497,34.0,2.0
498,34.0,2.0
499,34.0,2.0
500,34.0,2.0
501,34.0,2.0
502,34.0,2.0
503,34.0,2.0
504,34.0,2.0
505,34.0,2.0
506,34.0,2.0
507,34.0,2.0
508,34.0,2.0
509,34.0,2.0
510,34.0,2.0
511,34.0,2.0
512,34.0,2.0
513,34.0,2.0
514,34.0,2.0
515,34.0,2.0
516,34.0,2.0
517,34.0,2.0
518,34.0,2.0
519,34.0,2.0
520,34.0,2.0
521,34.0,2.0
522,34.0,2.0
523,34.0,2.0
524,34.0,2.0
525,34.0,2.0
526,34.0,2.0
527,34.0,2.0
528,34.0,2.0
529,34.0,2.0
530,34.0,2.0
531,34.0,2.0
532,34.0,2.0
533,34.0,2.0
534,34.0,2.0
535,34.0,2.0
536,34.0,2.0
537,34.0,2.0
538,34.0,2.0
539,34.0,2.0
540,34.0,2.0
541,34.0,2.0
542,34.0,2.0
543,34.0,2.0
544,34.0,2.0
545,34.0,2.0
546,34.0,2.0
547,34.0,2.0
548,34.0,2.0
549,34.0,2.0
550,34.0,2.0
551,34.0,2.0
552,34.0,2.0
553,34.0,2.0
554,34.0,2.0
555,34.0,2.0
556,34.0,2.0
557,34.0,2.0
558,34.0,2.0
559,34.0,2.0
560,34.0,2.0
561,34.0,2.0
562,34.0,2.0
563,34.0,2.0
564,34.0,2.0
565,34.0,2.0
566,34.0,2.0
567,34.0,2.0
568,34.0,2.0
569,34.0,2.0
570,34.0,2.0
571,34.0,2.0
572,34.0,2.0
573,34.0,2.0
574,34.0,2.0
575,34.0,2.0
576,34.0,2.0
577,34.0,2.0
578,34.0,2.0
579,34.0,2.0
580,34.0,2.0
581,34.0,2.0
582,34.0,2.0
583,34.0,2.0
584,34.0,2.0
585,34.0,2.0
586,34.0,2.0
587,34.0,2.0
588,34.0,2.0
589,34.0,2.0
590,34.0,2.0
591,34.0,2.0
592,34.0,2.0
593,34.0,2.0
594,34.0,2.0
595,34.0,2.0
596,34.0,2.0
597,34.0,2.0
598,34.0,2.0
599,34.0,2.0
600,34.0,2.0
601,34.0,2.0
602,34.0,2.0
603,34.0,2.0
604,34.0,2.0
605,34.0,2.0
606,34.0,2.0
607,34.0,2.0
608,34.0,2.0
609,34.0,2.0
610,34.0,2.0
611,34.0,2.0
612,34.0,2.0
613,34.0,2.0
614,34.0,2.0
615,34.0,2.0
616,34.0,2.0
617,34.0,2.0
618,34.0,2.0
619,34.0,2.0
620,34.0,2.0
621,34.0,2.0
622,34.0,2.0
623,34.0,2.0
624,34.0,2.0
625,34.0,2.0
626,34.0,2.0
627,34.0,2.0
628,34.0,2.0
629,34.0,2.0
630,34.0,2.0
631,34.0,2.0
632,34.0,2.0
633,34.0,2.0
634,34.0,2.0
635,34.0,2.0
636,34.0,2.0
637,34.0,2.0
638,34.0,2.0
639,34.0,2.0
640,34.0,2.0
641,34.0,2.0
642,34.0,2.0
643,34.0,2.0
644,34.0,2.0
645,34.0,2.0
646,34.0,2.0
647,34.0,2.0
648,34.0,2.0
649,34.0,2.0
650,34.0,2.0
651,34.0,2.0
652,34.0,2.0
653,34.0,2.0
654,34.0,2.0
655,34.0,2.0
656,34.0,2.0
657,34.0,2.0
658,34.0,2.0
659,34.0,2.0
660,34.0,2.0
661,34.0,2.0
662,34.0,2.0
663,34.0,2.0
664,34.0,2.0
665,34.0,2.0
666,34.0,2.0
667,34.0,2.0
668,34.0,2.0
669,34.0,2.0
670,34.0,2.0
671,34.0,2.0
672,34.0,2.0
673,34.0,2.0
674,34.0,2.0
675,34.0,2.0
676,34.0,2.0
677,34.0,2.0
678,34.0,2.0
679,34.0,2.0
680,34.0,2.0
681,34.0,2.0
682,34.0,2.0
683,34.0,2.0
684,34.0,2.0
685,34.0,2.0
686,34.0,2.0
687,34.0,2.0
688,34.0,2.0
689,34.0,2.0
690,34.0,2.0
691,34.0,2.0
692,34.0,2.0
693,34.0,2.0
694,34.0,2.0
695,34.0,2.0
696,34.0,2.0
697,34.0,2.0
698,34.0,2.0
699,34.0,2.0
